InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,John Valentin,11,3917,614,1093,281,17,124,558,47,.279,.454,0,1780,1,2002,valenjo02
FALSE,FALSE,George Smith,6,1132,119,268,42,7,3,92,54,.237,.294,0,333,0,1903,smithhe01
FALSE,FALSE,Otto Velez,11,1802,244,452,87,11,78,272,6,.251,.441,0,795,0,1983,velezot01
FALSE,FALSE,Glen Stewart,3,742,56,158,22,6,2,53,1,.213,.267,0,198,0,1944,stewagl01
FALSE,FALSE,Earle Brucker,5,707,87,205,53,8,12,105,2,.290,.438,0,310,0,1943,bruckea01
FALSE,FALSE,Jesse Barfield,12,4759,715,1219,216,30,241,716,66,.256,.466,1,2218,3,1992,barfije01
FALSE,FALSE,Charlie Reilley,5,439,36,92,8,1,0,34,0,.210,.232,0,102,0,1884,reillch01
FALSE,FALSE,Ed Bouchee,7,2199,298,583,114,21,61,290,5,.265,.419,0,922,0,1962,bouched01
FALSE,FALSE,Danny Gardella,3,543,74,145,12,3,24,85,2,.267,.433,0,235,0,1950,gardeda01
FALSE,FALSE,Bob Bescher,11,4536,749,1171,190,74,28,345,428,.258,.351,0,1593,0,1918,beschbo01
FALSE,FALSE,Jimmy Ripple,7,1809,241,510,92,14,28,251,7,.282,.395,0,714,0,1943,ripplji01
FALSE,FALSE,Lance Blankenship,6,1050,176,233,48,3,9,92,54,.222,.299,0,314,0,1993,blankla02
FALSE,FALSE,Luis Quinones,8,1003,102,227,36,11,19,106,9,.226,.341,0,342,0,1992,quinolu01
FALSE,FALSE,Mike Sadek,8,813,88,184,30,4,5,74,6,.226,.292,0,237,0,1981,sadekmi01
FALSE,FALSE,Bob Usher,6,1101,133,259,41,4,18,102,9,.235,.329,0,362,0,1957,usherbo01
FALSE,FALSE,Tim Cullen,7,1761,155,387,57,9,9,134,10,.220,.278,0,489,0,1972,culleti01
FALSE,FALSE,Spike Shannon,5,2613,383,677,49,15,3,183,145,.259,.293,0,765,0,1908,shannsp01
FALSE,FALSE,Ray Fosse,12,2957,299,758,117,13,61,324,15,.256,.367,2,1084,3,1979,fossera01
FALSE,FALSE,Don Bollweg,5,452,62,110,22,7,11,53,2,.243,.396,0,179,0,1955,bollwdo01
FALSE,FALSE,Parson Nicholson,3,646,96,169,20,15,5,86,58,.262,.362,0,234,0,1895,nichopa01
FALSE,FALSE,Dave Schneck,3,413,32,82,14,4,8,35,4,.199,.310,0,128,0,1974,schneda02
FALSE,FALSE,Javier Valentin,10,1507,154,379,82,5,45,210,0,.251,.402,0,606,0,2008,valenja01
FALSE,FALSE,Len Gabrielson,9,1764,178,446,64,12,37,176,20,.253,.366,0,645,0,1970,gabrile02
FALSE,FALSE,Wally Millies,6,651,60,158,20,3,0,65,2,.243,.283,0,184,0,1941,milliwa01
FALSE,FALSE,Barry McCormick,10,3645,433,867,110,42,15,417,130,.238,.303,0,1106,0,1904,mccorba01
FALSE,FALSE,Curtis Goodwin,5,1014,129,251,38,4,3,56,66,.248,.302,0,306,0,1999,goodwcu01
FALSE,FALSE,Elian Herrera,4,586,69,148,35,2,8,55,11,.253,.360,0,211,0,2015,herreel01
FALSE,FALSE,Joe Orsulak,14,4293,559,1173,186,37,57,405,93,.273,.374,0,1604,0,1997,orsuljo01
FALSE,FALSE,Brian Buscher,3,436,51,116,13,1,8,69,1,.266,.356,0,155,0,2009,buschbr01
FALSE,FALSE,Ramon Santiago,13,2436,295,592,85,18,30,214,30,.243,.330,0,803,0,2014,santira01
FALSE,FALSE,Pedro Florimon,8,788,96,166,35,7,12,73,26,.211,.319,0,251,0,2018,floripe01
FALSE,FALSE,Henry Easterday,4,1129,141,203,23,15,9,92,43,.180,.251,0,283,0,1890,eastehe01
FALSE,FALSE,Biff Pocoroba,10,1457,132,374,71,2,21,172,6,.257,.351,1,512,0,1984,pocorbi01
FALSE,FALSE,Tito Landrum,9,995,120,248,40,12,13,111,17,.249,.353,0,351,0,1988,landrti01
FALSE,FALSE,Eric Hinske,12,3797,549,947,240,18,137,522,61,.249,.430,0,1634,1,2013,hinsker01
FALSE,FALSE,Ricky Gutierrez,12,3632,471,967,141,25,38,357,50,.266,.350,0,1272,0,2004,gutieri01
FALSE,FALSE,Bill Stein,14,2811,268,751,122,18,44,311,16,.267,.370,0,1041,0,1985,steinbi02
FALSE,FALSE,Don Zimmer,12,3283,353,773,130,22,91,352,45,.235,.372,1,1220,0,1965,zimmedo01
FALSE,FALSE,Mike Richardt,4,580,46,131,15,1,4,60,11,.226,.276,0,160,0,1984,richami01
FALSE,FALSE,William Barbeau,4,712,96,160,25,8,0,46,39,.225,.282,0,201,0,1910,barbeja01
FALSE,FALSE,Frank Wilson,4,488,46,120,19,4,1,38,8,.246,.307,0,150,0,1928,wilsofr01
FALSE,FALSE,Garry Jestadt,3,454,33,118,18,1,6,36,1,.260,.344,0,156,0,1972,jestaga01
FALSE,FALSE,Cam Carreon,8,986,113,260,43,4,11,114,3,.264,.349,0,344,0,1966,carreca01
FALSE,FALSE,George Williams,4,428,62,104,19,2,10,48,0,.243,.367,0,157,0,2000,willige03
FALSE,FALSE,Aaron Ledesma,5,754,94,223,38,4,2,76,11,.296,.365,0,275,0,2000,ledesaa01
FALSE,FALSE,Mark Parent,13,1303,112,279,50,0,53,168,3,.214,.375,0,488,0,1998,parenma01
FALSE,FALSE,Lou Skizas,4,725,80,196,27,4,30,86,8,.270,.443,0,321,0,1959,skizalo01
FALSE,FALSE,Eddie Perez,11,1525,137,386,85,2,40,172,1,.253,.390,0,595,1,2005,perezed02
FALSE,FALSE,Haywood Sullivan,7,851,94,192,30,5,13,87,2,.226,.318,0,271,0,1963,sulliha02
FALSE,FALSE,Dan Ford,11,4163,598,1123,214,38,121,566,61,.270,.427,0,1776,0,1985,fordda01
